"","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98","99","100","101","102","103","104","105","106","107","108","109","110+"
"1940",-1.93075950193012,-3.00455104486221,-3.92040806196259,-4.59690444157106,-5.02493707880712,-5.43574204245971,-5.62266342337141,-5.80847654577087,-5.93131062428824,-6.12111775533485,-6.07876687551078,-6.16820172560804,-6.28933164461813,-6.03813695530641,-6.12385373515373,-5.99909357427247,-5.84892386032587,-5.7368223287344,-5.5154788461847,-5.44496294688952,-5.41530072203386,-5.44011137216592,-5.45263472693239,-5.33518884132394,-5.39394759756329,-5.39593019541504,-5.31546352538301,-5.27031317013844,-5.19992104469184,-5.35955467601923,-5.18356112924985,-5.3043354388736,-5.16922079321363,-5.06657092642656,-5.2048270234607,-5.14097179582426,-5.12000383115162,-5.16448601891452,-5.03073596580326,-5.15127762389872,-4.90317199084673,-5.00415632799855,-4.79475807877409,-4.88052850875104,-4.95543713363149,-4.74156281089365,-4.66715197834397,-4.80349918092786,-4.60667131211436,-4.78609272186834,-4.4439871483967,-4.53331474888766,-4.44466828933406,-4.43694755357364,-4.35495636315122,-4.21725823712752,-4.13385491731756,-4.13011682811025,-3.93882909984865,-4.20538786101543,-3.67940448375142,-3.83436776086254,-3.67774170970348,-3.54450209223613,-3.5425305577788,-3.36659307697523,-3.33687138310591,-3.31373610589216,-2.9897104412355,-3.39424162909615,-2.67694405292876,-2.87463030720187,-2.59001386419596,-2.50090189437324,-2.57331827940119,-2.32206357283169,-2.28508904537729,-2.30349550729541,-1.94222893305284,-2.20022708034048,-1.67204230520441,-2.25790813838954,-1.84195021375241,-1.92094830441846,-1.73140782584331,-1.45892096949647,-1.53829003131597,-1.58397973930146,-1.43706147817354,-1.6013556619908,-1.06368056779897,-1.68362819566759,-1.31292494734756,-1.36705267543577,-1.32495846290873,-1.048719875056,-1.20523693633756,-0.917056024635973,-0.898590803897623,-0.979030871070347,-0.795720473024551,-1.64457298320243,-0.853017855076592,-1.17548577363739,-0.866938820752186,-0.627164702430231,-1.17178961708201,-1.55972436519026,-1.4492682402817,-1.28139755295777,-1.38368576646334
"1941",-1.77690435483231,-2.65120683688518,-3.63015781829793,-4.37891149177374,-4.93575975945115,-5.32733431561853,-5.49360258973385,-5.65413553476679,-5.82459509487295,-5.87956545461057,-6.12111775533485,-6.00962851773565,-6.11521535454416,-6.11657435815083,-5.89943246166149,-5.89143823304086,-5.70298279448564,-5.6229400868121,-5.58253876737084,-5.47959946376733,-5.25948134276284,-5.35891698867697,-5.25525787708759,-5.38867980662843,-5.32301997918841,-5.35298476789034,-5.27011871218936,-5.31343100435809,-5.28047744841971,-5.28224718637054,-5.24876558771879,-5.20373472406209,-5.13858230842688,-5.14456676674212,-5.11799781242475,-5.01962558593439,-5.11067664827648,-5.08967850143671,-4.92084029498004,-5.01947424276346,-4.94134246760031,-5.06245504282605,-4.67184431925608,-4.93924529800958,-4.71979571182939,-4.67098952702538,-4.77004482917833,-4.80459721068499,-4.47941898068253,-4.65551656042483,-4.47985999502264,-4.70919825641214,-4.20110605879556,-4.3428059215206,-4.2438659736657,-4.09672739892389,-4.1939881175507,-4.12918448506481,-3.93242981520581,-3.96058319604352,-3.63651473390807,-4.05808978156293,-3.37567584443208,-3.50107296708941,-3.43684528490868,-3.2501085272993,-3.29295302826452,-3.15093684186001,-2.9743622478178,-3.12657015408417,-2.63642280303002,-3.06697052115505,-2.41340492809929,-2.48569095727672,-2.37374817482771,-2.20875783034989,-2.33445766994901,-2.07860189428239,-1.89868120295284,-2.05639711587168,-1.63476084863667,-2.10957915139811,-1.78049910575335,-1.8167634802979,-1.70105990198141,-1.37375332962558,-1.50631740371962,-1.49537735215579,-1.27115303392698,-1.56839674193465,-0.982283643458298,-1.60660193761489,-1.28194876031395,-1.3733189075975,-1.40650523173604,-1.0723979077255,-1.03171280679302,-1.09757582598118,-0.745976390704559,-1.17419072604147,-0.663549544121002,-1.86554380145114,-0.603441769075578,-1.38933899130612,-0.728028522418129,-0.323226351976672,-1.05410270168218,-0.0538702962168425,-1.8418745106599,-1.94710185885945,-0.879537001529854
"1942",-1.91749957859518,-2.8429768523618,-3.65621867187439,-4.33690031705777,-4.8208417224636,-5.14851900145964,-5.36831073836857,-5.6481585709082,-5.81415553213757,-5.87777878270417,-5.84511565077285,-6.01945258364815,-5.94496271345656,-6.0260559918776,-5.91821408536839,-5.74491701801476,-5.5943004640392,-5.56072163181555,-5.43459538484066,-5.44172594984339,-5.32301997918841,-5.27460083993072,-5.31059239742365,-5.30998517141572,-5.29891754662007,-5.30998517141572,-5.39725411440806,-5.30675284536914,-5.22488104847485,-5.35003180223472,-5.24553518110907,-5.33270179340987,-5.17433138676705,-5.10687090197708,-5.21747497870394,-5.07581402012125,-5.09733762793555,-5.1277310659725,-4.96441987029929,-5.05020806921608,-4.97045350446342,-5.17186094259548,-4.82394827979266,-4.89578990242722,-4.79717850837159,-4.6642834504806,-4.90776287117563,-4.85350334837596,-4.5504926246974,-4.66152891965748,-4.40247426994299,-4.79367079385876,-4.39839994879183,-4.32006643455111,-4.29182036678773,-4.16820641082056,-4.14124750830836,-4.2062598468506,-4.02373699505815,-4.02183787143535,-3.45634018115936,-4.10239689541293,-3.68783999453927,-3.4353851811994,-3.46971179619932,-3.21145343905256,-3.27846660628184,-3.35957570697134,-3.01581253938818,-3.24766117629995,-2.47457223428894,-3.21957606998259,-2.72016326898601,-2.47227081920843,-2.45014586735681,-2.12413769774869,-2.40169849589141,-2.33374557724367,-1.90044550831446,-2.2723178039245,-1.66729480544796,-2.23961029383266,-1.87911636044631,-1.91079979494244,-1.68477048025296,-1.41049279583626,-1.57936467942796,-1.57260948158457,-1.42586713623971,-1.63607453839459,-1.00141298529099,-1.76188421220924,-1.33085965423179,-1.42229466536093,-1.37869927693146,-0.991076241196663,-1.17655545192832,-1.06280605205697,-0.728734980740057,-1.15617996271418,-0.760159158170441,-1.65799285427047,-0.963612973968568,-1.0029521700995,-1.47105518160364,-0.818626506827961,-1.53093639177939,-0.557946931251712,-Inf,-Inf,-0.0528935214365916
"1943",-1.92342973767624,-2.95656925437267,-3.78565470661334,-4.39718088244556,-4.87148223270368,-5.29731786621495,-5.5009232666447,-5.71717171177522,-5.92380589863417,-5.93206420382653,-6.12934825447137,-6.16391498410667,-6.06489582519387,-5.97362462897965,-5.94840505764753,-5.88602403464999,-5.7786137852792,-5.60104539720509,-5.34561863966605,-5.39109076670039,-5.40035009211319,-5.35912950594479,-5.23477934574405,-5.37779356804983,-5.30514059189616,-5.34373323007852,-5.35467610021742,-5.34101612108115,-5.25736738021908,-5.30031936921871,-5.29891754662007,-5.36638209746217,-5.29253412179231,-5.21213967030698,-5.18071212447377,-5.09081551122378,-5.08498175622491,-5.08789437964321,-5.04974001397702,-5.02798493243137,-4.94555004744032,-5.17982347250025,-5.05458718162544,-4.89699415760721,-4.78645228320738,-4.73050667729939,-4.81515075077602,-4.85311885622127,-4.72903417321048,-4.6922542928952,-4.43096480979639,-4.73995951233673,-4.46688759818808,-4.43029293608337,-4.33285559066743,-4.24219512950088,-4.21231761593077,-4.30136873165643,-4.0789634601838,-4.15256707142252,-3.62069757806157,-4.03182056888374,-3.87912028575244,-3.71736123654959,-3.4877688554234,-3.30538732681618,-3.31621305775716,-3.38183602818354,-3.21311743625753,-3.22615223383898,-2.66644291500411,-3.07432103871439,-2.82793231327906,-2.7988834174795,-2.4751187083569,-2.26028259496017,-2.30764788733651,-2.38237533254034,-2.15060247600316,-2.22872143639722,-1.72937075727518,-2.27129962695497,-1.97188663545907,-1.92022485860098,-1.78145474573383,-1.55359174810594,-1.6591009574532,-1.59331853055422,-1.46731354539156,-1.69409206985005,-1.12107264459829,-1.8661576373307,-1.49725720723276,-1.48966574530099,-1.5111730112125,-1.03443539541002,-1.05448153413658,-1.30151213350528,-0.649760158537248,-1.19278231869029,-0.466819902685859,-1.1658071347149,-0.954039329121962,-0.784030772178033,-0.780423319868752,-0.35930554379168,-2.34835681724021,-1.97662505933229,-0.170445556480449,-0.636575939071947,-0.457776288787293
"1944",-2.00490566109199,-3.03150453944214,-3.95393934852944,-4.54322878444791,-4.94836496837013,-5.31282205275092,-5.61275417630864,-5.76353247906197,-5.9354623569927,-6.02192375459269,-6.19431539515443,-6.12020742300071,-6.29853333335995,-6.12888922301965,-6.12888922301965,-5.89760997163636,-5.80647987289454,-5.69343618260206,-5.55037492802689,-5.51448530412582,-5.46508058442614,-5.43597153184683,-5.36531223537231,-5.29751768637747,-5.29015080388164,-5.33789014166786,-5.39968586093633,-5.28402006184721,-5.31180795673054,-5.46083629604581,-5.29931786688162,-5.46649935978827,-5.26565658430849,-5.20975718956856,-5.21489575840896,-5.18284811674192,-5.20665017802221,-5.08111140790058,-5.01133553921065,-5.20428072462165,-4.92207511711678,-5.12739385470645,-4.89887033076544,-5.00983561392569,-4.84724174718782,-4.67580726558753,-4.79972628045039,-4.79391231058497,-4.65488577823402,-4.70510102461314,-4.42251535140402,-4.70797840596977,-4.47519510956635,-4.52460453814852,-4.38483056200662,-4.11708108919597,-4.15869110178931,-4.19724144844195,-4.02923120633369,-4.17579325783361,-3.67517380705782,-4.08056000725148,-3.67214033810966,-3.77282644023986,-3.60980952713046,-3.17869403523537,-3.35086554933115,-3.31148465660086,-3.16856301099461,-3.35773567425162,-2.69340792436534,-3.19647852742616,-2.65761852780352,-2.86267099141409,-2.69484280401509,-2.18005777371435,-2.32856978996604,-2.20909474990671,-2.14296084905892,-2.39625861285723,-1.79853638070708,-2.32819012170944,-1.98069001737264,-1.95552623577428,-1.72364858657893,-1.53866728875207,-1.63760593226202,-1.57840931708143,-1.46178544317544,-1.59782559710593,-1.115235695047,-1.719794219637,-1.40401036692567,-1.41835071966025,-1.41364089223872,-1.16727450054326,-0.956802878568873,-1.19591865953675,-0.901889923066343,-1.11641074565597,-0.52782598109081,-1.35366067951856,-0.821135109467755,-0.884474770196806,-1.347920160003,-0.608851989064551,-1.32197586418587,-0.717374301508364,-0.79925464177883,-Inf,-1.4642386054419
"1945",-2.06452140258946,-3.17008566069877,-4.05208999432526,-4.73778771060293,-5.03579926775981,-5.50731149475783,-5.75781636314869,-5.91895785632123,-6.02316163385124,-6.17250692240356,-6.19676818029386,-6.35272140055183,-6.3105684895681,-6.20912316819162,-5.98667603037619,-6.15257270750274,-5.89397492583073,-5.72235386024164,-5.60729117446744,-5.53429289667762,-5.46578972049179,-5.4931164448531,-5.32220030701137,-5.31201069368004,-5.29951808712456,-5.36445716905258,-5.36125716632191,-5.37024310611963,-5.32671684106973,-5.40101476478638,-5.31933673377211,-5.49263053619437,-5.21213967030698,-5.28995245021641,-5.20228017835109,-5.21636878390087,-5.15595012526112,-5.14045928193246,-5.07902120696272,-5.09276768363488,-4.91960699574869,-5.17045199555014,-4.86032053343739,-5.03472308962535,-4.94344404455593,-4.76651333639685,-4.7941538856556,-4.79620963340177,-4.62129956791798,-4.62659813340171,-4.49237735851297,-4.70842181579857,-4.40771374160987,-4.40590957513721,-4.45227743988495,-4.20177388304904,-4.14433344456717,-4.25163015074485,-4.0573956584439,-4.15639019319398,-3.79330707172316,-4.09396463440382,-3.79753427894345,-3.55827233300666,-3.72965978283556,-3.48770343180545,-3.26557442787744,-3.32124083154623,-3.16920509612862,-3.40924971485298,-2.92577719846677,-3.18333977637718,-2.79972150963652,-2.7256135374828,-2.79702896667767,-2.45599271562336,-2.30884464316519,-2.27013726412819,-2.03959025814708,-2.43135071709819,-1.86822807163204,-2.27749256038235,-1.96677021524298,-1.95674260886985,-1.84405326394919,-1.57708205472809,-1.69806696078516,-1.58895414461778,-1.40892859362883,-1.6751557954122,-1.11558043689826,-1.78848683015783,-1.39925802751175,-1.51434139181691,-1.36352750404598,-1.04538057423122,-1.16733234023094,-1.17757757696641,-0.64596402121709,-1.09706648403994,-0.631634482611644,-1.33247685523643,-1.01220434370697,-0.980674598304715,-0.836685042756242,-0.617407255052497,-1.56496180233358,-0.0297058830573973,0.291674342725271,-0.122217352724288,-0.694395959960474
"1946",-2.07032324003531,-3.19242865485335,-4.05364417509572,-4.84317360020933,-5.20082774527078,-5.58307039949394,-5.83857180100484,-5.96346035069838,-6.19431539515443,-6.31941321278832,-6.43900243163805,-6.49763435933778,-6.45923068141353,-6.44088154274533,-6.13857341214619,-6.06017174511777,-5.98151421625481,-5.77829052683126,-5.64419368324454,-5.54883211465838,-5.43965054266468,-5.40813223255524,-5.39109076670039,-5.3527735523441,-5.32918903021512,-5.30856974301239,-5.32486670178157,-5.35573463741799,-5.37131825943253,-5.43826932697548,-5.28658644367234,-5.4451945624088,-5.34059875880464,-5.26044371411996,-5.31566700488315,-5.2276725269787,-5.13551847624295,-5.1535246216465,-4.98980378451632,-5.20665017802221,-5.01133553921065,-5.20028362627667,-4.87383425260411,-4.98877595974336,-4.93868679478367,-4.81428756556921,-4.82046958327925,-4.79367079385876,-4.5826262215532,-4.65857096271521,-4.47933080114894,-4.73984508931469,-4.43113284878183,-4.40894572402515,-4.31668843336575,-4.30033605471874,-4.20485163203281,-4.11511886143858,-4.0351515529093,-4.10034251402574,-3.69481704678069,-4.13223336276491,-3.73024326205524,-3.65177636616243,-3.47955900315321,-3.42074724090687,-3.3616786360019,-3.16661549820712,-3.03770075837649,-3.19289136414623,-2.72593417020077,-3.17110999467354,-2.69561286639858,-2.76585941490181,-2.56500235886609,-2.42672076397821,-2.4389089523557,-2.0976299525247,-1.94837819216969,-2.18314121507781,-1.76968295857705,-2.24787912839531,-1.85949028030553,-1.85187259687994,-1.69406486170502,-1.46111273939845,-1.56288835178112,-1.53374619506716,-1.32092243735878,-1.59752416381306,-0.953543582539533,-1.6010680377649,-1.305370810733,-1.43648089976653,-1.33804148412051,-0.950274183455266,-0.840608285569912,-1.02581546140359,-0.737939546584096,-0.94519702204801,-0.596694017845888,-1.33326936699021,-0.673230834239823,-0.874132031143846,-0.635055646656413,-0.217023566681882,-1.06596892818311,-1.82422894336816,-1.29838238978711,-0.392176296781649,-1.93738657811444
"1947",-2.15916896572715,-3.37966096413163,-4.22618595512952,-4.98467519242672,-5.41687570267217,-5.79556887028691,-5.84201059393964,-6.03062126230918,-6.2669545787944,-6.31774885734171,-6.49102057861574,-6.55498795987442,-6.48773001954264,-6.46692302703668,-6.27276701259572,-6.15398347660576,-5.90602106529051,-5.94572665543413,-5.73465413832329,-5.5828045481033,-5.59483838766702,-5.45660994554263,-5.35573463741799,-5.34331473247877,-5.38955584698231,-5.38758583430622,-5.36509840023839,-5.38977497703687,-5.41935569492509,-5.54064373727902,-5.35298476789034,-5.56541280539143,-5.47100547437375,-5.33913936106829,-5.34018157064674,-5.38365741371505,-5.21342489953007,-5.22748618578744,-5.16658759587014,-5.22432368663971,-5.0591429981613,-5.29811738654537,-5.05584188693433,-5.03027693435154,-5.05302101059269,-4.92578875868614,-5.0338015721281,-4.85107072442492,-4.63583560029898,-4.78214605645729,-4.56537271611402,-4.84291988969166,-4.5739622588639,-4.48979003494802,-4.52119675221191,-4.29182036678773,-4.38539229215018,-4.37358238789122,-4.0576848178595,-4.20666255844743,-3.80115269659672,-4.17150642352125,-3.84100551819287,-3.73680998787149,-3.58103003833924,-3.40825220853586,-3.43092489813515,-3.40379074151475,-3.08539443349372,-3.26819738020091,-2.78026611816773,-3.23208771884043,-2.8605896796117,-2.71117006281349,-2.71311299544467,-2.35104031326345,-2.60519131190423,-2.3516387918857,-1.92322442697199,-2.21452842917376,-1.83814063735985,-2.27400735436234,-1.94044510962425,-1.8570534756728,-1.77005277346836,-1.5906995767856,-1.61947309688723,-1.58983138279518,-1.43532915520878,-1.56387198816329,-1.10926886885664,-1.8279982328155,-1.39852889878823,-1.60097879189247,-1.4312624387766,-1.03532767834823,-0.996354481435737,-0.944641339277113,-0.558850580781108,-0.949335753924366,-0.635265139712295,-1.32455224628437,-0.719784833515517,-0.621131681816831,-2.83640643655435,-0.458744056813576,-0.717312832018726,-1.14183090278821,-0.855397910732257,-Inf,-0.731441123297627
"1948",-2.18353175340434,-3.35598503884061,-4.16285897675926,-4.89940702741055,-5.46886846774308,-5.81516106263959,-6.08314133567989,-6.07050775444843,-6.28933164461813,-6.37126190846757,-6.54241796196475,-6.54519767188525,-6.63544068366148,-6.57989141689752,-6.34187344946807,-6.32498115590356,-6.11250287548504,-5.85868343587416,-5.75591822907673,-5.75118859705347,-5.67636187908021,-5.56541280539143,-5.51027372847168,-5.50607981582394,-5.42388058952338,-5.4979885616771,-5.46437195087812,-5.41958145404108,-5.41417725264257,-5.50362099973392,-5.54140855567194,-5.55217789052431,-5.4940889710664,-5.42933762898644,-5.46744632955601,-5.38714858025465,-5.35615836623789,-5.35870451656313,-5.06371966518871,-5.23309158163033,-5.07293632029364,-5.19161774788898,-5.05458718162544,-5.10604547890091,-5.0054985099911,-4.97594405430633,-5.00326253976684,-5.02859561947325,-4.72960026436627,-4.75204738184885,-4.51414188764053,-4.6453673757395,-4.56182338148473,-4.52922818241293,-4.43348836429848,-4.39005880637115,-4.31160545037816,-4.41331092471365,-4.21103569422231,-4.1079162422522,-3.95979618689983,-4.11413918955028,-3.85351827605558,-3.8076629901039,-3.66434295126903,-3.51371679451846,-3.43675202307602,-3.53949439756625,-3.26429168839868,-3.17493071236197,-2.94190718685908,-3.17180141748227,-2.8861606371247,-2.90673287399141,-2.70222718779942,-2.58780353600785,-2.49925712710246,-2.48738572014518,-2.31027458147843,-2.2018442315261,-2.00616134060551,-2.32716471196844,-1.99110837197655,-2.03304662477855,-1.90814048816935,-1.7164831798228,-1.65804534330028,-1.71877856054325,-1.43508552528982,-1.72521358918416,-1.24965380695134,-1.76763677510793,-1.52666969157906,-1.55846441917748,-1.44044225231056,-1.13118713460029,-1.12539886707547,-1.19002387786223,-0.700282577060957,-0.866917404444142,-0.889755914746006,-1.40247252472739,-0.592749961707063,-1.03154166351341,-0.805505456866105,-0.645437600010758,-Inf,-1.86820864139146,-0.809818084863719,-1.25751423792085,-1.89389851273712
"1949",-2.11236150630424,-3.18350868103091,-4.13986507752391,-4.91755487108024,-5.39526889262449,-5.72418928443386,-6.08929790745675,-6.02688449233924,-6.29365130576264,-6.32833686375053,-6.454770654906,-6.61882398712992,-6.61136126592833,-6.43276410822536,-6.46885539478774,-6.37712702791997,-6.1739461167033,-5.96346035069838,-5.81014349064761,-5.74773436218538,-5.77184720557033,-5.62876777085076,-5.50829793133597,-5.45731309803849,-5.42933762898644,-5.51101566000071,-5.52773053087584,-5.48972003207818,-5.45731309803849,-5.56776667073876,-5.46863130421771,-5.58014991421093,-5.42048500052224,-5.4371197694285,-5.4613069950425,-5.28224718637054,-5.32918903021512,-5.27636019919599,-5.29671864518434,-5.25181553289662,-5.1265513236936,-5.30031936921871,-4.95899206094442,-5.14989736142976,-4.99422075282816,-4.80288968496214,-4.98980378451632,-4.86019147620032,-4.79403309082547,-4.78369894454335,-4.51752567613604,-4.77524701636561,-4.45313603013259,-4.51013277065334,-4.41579026482669,-4.38884986002201,-4.23574684922719,-4.26984146006896,-4.1858679210919,-4.15568819246315,-3.79312947548774,-4.0541051373626,-3.77291344972395,-3.71723777721899,-3.67845398863035,-3.44891811787357,-3.41297648369845,-3.3129118167948,-3.27669033624602,-3.27454710973867,-2.71569434325397,-3.09444824649315,-2.72556774119992,-2.79124161073899,-2.64730323382911,-2.43548811165827,-2.45687911642784,-2.2738907419527,-2.21620558225652,-2.29132868473835,-1.88848404882434,-2.23226643408509,-1.89534156720847,-1.86536295327269,-1.67298492527852,-1.54986325340043,-1.57051051152342,-1.50011724852464,-1.3648656057066,-1.50052072922356,-1.24587871940923,-1.67417378637779,-1.29746330741329,-1.30752384695684,-1.36720963851445,-0.991785049175768,-0.951907546876698,-1.05598680141898,-0.799419222642895,-0.849875847208177,-0.775537976168853,-0.972366496695992,-1.02082103669683,-0.643928536772446,-0.685814133193153,-1.76729712705032,-0.752005862566352,-Inf,-0.162331888167566,-0.912323611313044,-0.294630154567205
